ID,HW 0,HW 1,HW 2 ,HW 3,HW 4,HW 5,Lab 01,Lab 02,Lab 03,Lab 04,Lab 05,Lab 06,Lab 07,Lab 08,Lab 09,Lab 10,Lab 11,Final Project,Midterm 1,Quiz 01,Quiz 02,Quiz 03,Quiz 05,Quiz 06,Quiz 07,Quiz 08,Quiz 09,Quiz 10,Midterm 2
,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,10,10,10,10,10,10,10,10,10,100
49647,90,100,92,90,40,100,100,90,98,100,92,100,98,100,100,97,98,88,57,10,8,1,10,10,1,1,2,6,89
49865,100,70,97,100,100,100,100,85,97,100,100,100,100,100,70,100,90,100,93,10,8,6,6,10,1,8,1,7,73
88260,100,100,100,100,100,100,95,90,98,100,92,95,87,98,88,80,98,95,44,10,1,5,4,8,1,3,1,7,80
73216,75,90,96,100,100,100,95,95,100,100,100,100,88,95,100,100,100,90,75,10,7,1,7,9,1,8,10,6,65
62539,85,75,96,100,100,100,95,95,98,100,100,98,88,95,98,100,98,88,59,10,7,5,8,8,1,3,9,6,49
38180,,,100,,,,100,100,95,100,100,100,100,95,100,100,95,100,77,10,0,7,10,10,9,8,10,8,52
75682,,90,100,80,100,100,100,85,97,100,100,100,100,70,90,100,80,100,90,10,8,8,8,3,7,8,8,10,88
53903,100,100,100,100,,,100,90,100,100,88,100,99,99,100,95,100,102,79,10,6,2,10,0,1,1,9,5,62
19860,,80,96,73,100,100,100,95,98,100,95,98,98,99,100,97,99,98,71,10,10,8,10,10,3,8,5,6,70
40080,100,60,100,100,100,100,100,100,97,100,100,100,100,100,95,100,95,93,79,10,1,10,7,10,1,8,9,10,50
85987,0,100,67,40,100,0,95,95,100,100,88,98,88,95,100,100,100,90,50,10,0,2,4,0,1,,,,63
99792,85,100,100,80,100,25,95,100,100,100,80,95,98,100,100,100,100,85,60,10,1,4,4,10,1,1,5,,51
92695,100,100,100,100,100,100,100,100,97,100,100,100,100,95,95,100,100,88,50,10,1,3,2,4,2,3,1,7,81
99656,,100,100,90,100,100,100,95,100,100,100,95,100,100,80,100,95,100,76,10,1,2,8,4,1,5,8,5,79
69228,100,75,100,100,100,100,100,85,98,100,98,98,100,99,100,100,100,98,76,10,8,3,8,10,10,5,5,5,97
37728,50,100,98,100,100,100,95,100,99,100,100,99,100,100,80,100,95,85,58,10,5,10,7,8,6,8,6,7,89
45564,10,90,96,98,100,100,90,95,99,100,100,100,100,100,95,100,90,100,76,10,8,4,6,10,1,5,9,5,94
93279,100,98,100,80,100,100,95,90,98,100,100,98,98,100,98,93,100,98,66,10,5,1,8,0,3,10,,5,72
60921,80,90,40,100,,,100,100,100,100,100,100,100,100,100,100,,95,60,10,8,2,6,10,2,5,9,,81
68176,,100,96,100,100,100,100,95,100,100,89,98,95,100,100,100,99,98,64,10,1,6,8,10,0,1,6,6,31
71930,100,100,96,45,100,50,100,100,100,100,100,100,100,95,100,100,100,85,58,10,1,5,10,7,2,1,1,1,63
98110,100,100,96,100,100,100,100,80,100,100,100,95,95,100,100,100,100,102,82,10,8,6,6,10,6,1,10,6,93
58332,100,88,100,95,100,100,100,95,100,100,98,100,88,95,100,95,98,95,59,10,8,3,8,10,4,8,6,6,88
38015,100,80,84,90,100,100,100,100,100,100,80,100,100,90,100,80,100,100,77,10,9,6,7,1,3,8,4,4,89
20430,100,100,97,90,100,100,100,100,99,100,100,99,100,100,90,100,100,88,86,10,1,6,8,8,10,8,7,6,85
31286,100,100,100,100,100,100,100,100,95,100,95,93,50,100,70,100,100,,75,10,8,9,8,9,1,8,9,10,76
80032,100,90,100,90,100,100,100,65,95,100,100,100,100,90,75,100,100,,91,10,8,8,4,10,1,10,,10,92
15034,100,100,97,100,100,100,100,75,100,100,100,100,100,100,88,100,100,50,85,10,1,9,6,7,4,5,8,4,90
78329,100,90,100,100,100,100,100,100,95,100,90,90,85,100,75,50,100,25,57,10,1,8,8,10,10,8,,,88
53715,100,45,100,100,95,100,100,100,100,100,100,100,100,100,90,90,100,100,62,10,6,5,8,7,1,3,6,8,91
72268,95,100,100,35,100,100,100,95,80,100,,65,,,,,100,,45,10,,3,,10,1,1,10,,42
98608,85,90,100,100,90,100,100,100,100,100,100,95,90,100,80,100,100,,66,10,1,3,6,8,5,3,,10,76
12240,100,85,100,100,100,100,100,100,100,100,100,85,100,100,50,100,100,50,88,10,8,5,8,10,8,5,9,10,95
38235,90,82,100,100,90,100,100,100,95,100,80,90,100,100,100,50,100,100,77,10,8,7,4,10,1,1,,,100
36756,100,100,100,100,100,100,100,100,100,100,100,85,85,100,45,85,100,,72,10,8,5,6,0,1,8,,5,90
98958,100,100,100,100,100,100,100,100,95,100,95,100,100,100,65,100,100,100,84,10,8,9,8,10,6,10,8,9,98
73402,100,77,100,100,100,100,100,100,100,100,100,100,100,100,70,100,100,75,52,10,1,4,10,3,2,1,7,8,95
92712,95,100,100,100,100,85,100,100,95,100,90,100,100,90,50,100,100,100,80,10,10,10,10,10,10,10,10,10,100
60199,100,90,100,100,100,100,90,100,95,100,90,90,,60,,90,,,52,10,8,2,7,0,1,8,,,80
37342,95,85,100,100,100,100,100,100,100,100,100,100,95,80,100,100,100,100,73,10,9,6,2,10,1,5,,,100
73492,100,95,100,100,98,100,100,100,100,100,100,85,65,100,60,90,100,50,86,10,10,8,10,10,8,3,5,1,88
29288,100,90,97,100,100,100,96,95,100,100,100,95,70,100,100,90,100,100,65,10,1,3,10,10,7,10,10,10,74
34759,100,90,100,100,90,100,100,100,100,100,100,100,80,90,100,80,100,100,70,10,1,2,6,10,1,8,8,9,94
45920,85,85,100,80,100,100,100,100,80,100,100,85,100,100,75,75,100,85,59,10,10,1,6,10,1,8,,10,91
