Address,ARSON, ASSAULT, BAD CHECKS, BRIBERY, BURGLARY, DISORDERLY CONDUCT, DRIVING UNDER THE INFLUENCE, DRUG/NARCOTIC, DRUNKENNESS, EMBEZZLEMENT, EXTORTION, FAMILY OFFENSES, FORGERY/COUNTERFEITING, FRAUD, GAMBLING, KIDNAPPING, LARCENY/THEFT, LIQUOR LAWS, LOITERING, MISSING PERSON, NON-CRIMINAL, OTHER OFFENSES, PORNOGRAPHY/OBSCENE MAT, PROSTITUTION, RECOVERED VEHICLE, ROBBERY, RUNAWAY, SECONDARY CODES, SEX OFFENSES FORCIBLE, SEX OFFENSES NON FORCIBLE, STOLEN PROPERTY, SUICIDE, SUSPICIOUS OCC, TREA, TRESPASS, VANDALISM, VEHICLE THEFT, WARRANTS, WEAPON LAWS
OAK ST / LAGUNA ST,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,21,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0
VANNESS AV / GREENWICH ST,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1500 Block of LOMBARD ST,0,8,0,0,19,0,0,5,0,0,0,0,2,1,0,1,55,0,0,5,9,11,0,11,0,2,0,3,1,0,0,0,4,0,3,6,5,3,0
100 Block of BRODERICK ST,0,2,1,0,9,0,0,0,0,0,0,0,0,1,0,0,9,0,0,2,5,5,0,0,0,2,0,0,1,0,0,0,3,0,0,5,5,0,1
0 Block of TEDDY AV,0,9,0,0,2,0,0,2,0,0,0,0,2,1,0,2,11,0,0,0,6,7,0,0,2,1,0,1,0,0,0,1,2,0,2,4,10,1,1
AVALON AV / PERU AV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIRKWOOD AV / DONAHUE ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
600 Block of 47TH AV,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,6,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0
JEFFERSON ST / LEAVENWORTH ST,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,3,0,0,2,2,2,0
0 Block of ESCOLTA WY,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
