"distance" "venue" "made"
3 "Home" 1
26 "Home" 0
2 "Home" 0
27 "Home" 1
0 "Home" 1
25 "Home" 1
22 "Home" 1
28 "Home" 1
25 "Home" 1
27 "Home" 0
2 "Home" 1
2 "Home" 1
39 "Home" 0
24 "Home" 0
12 "Home" 1
24 "Home" 0
25 "Home" 0
1 "Home" 1
1 "Home" 1
1 "Home" 1
7 "Home" 0
25 "Home" 0
3 "Home" 0
25 "Home" 1
12 "Home" 0
0 "Home" 0
18 "Away" 0
24 "Away" 1
24 "Away" 1
29 "Away" 1
24 "Away" 0
24 "Away" 0
23 "Away" 0
26 "Away" 1
1 "Away" 1
25 "Away" 0
8 "Away" 1
11 "Away" 1
1 "Away" 1
2 "Away" 1
24 "Away" 0
31 "Away" 1
27 "Away" 0
18 "Away" 1
29 "Away" 1
26 "Away" 0
10 "Away" 0
9 "Away" 1
23 "Away" 0
26 "Away" 0
28 "Away" 1
25 "Away" 1
26 "Away" 1
14 "Away" 1
21 "Away" 0
1 "Away" 1
25 "Away" 1
2 "Away" 1
1 "Away" 1
1 "Away" 1
26 "Away" 1
26 "Away" 0
16 "Away" 1
14 "Away" 0
12 "Away" 1
29 "Away" 1
24 "Away" 0
9 "Away" 0
28 "Home" 1
20 "Home" 1
24 "Home" 0
27 "Home" 0
24 "Home" 0
3 "Home" 0
26 "Home" 0
6 "Home" 1
16 "Home" 1
25 "Home" 1
1 "Home" 0
2 "Home" 1
2 "Home" 1
25 "Home" 1
22 "Home" 1
9 "Home" 1
25 "Home" 1
26 "Home" 1
29 "Home" 1
18 "Home" 0
23 "Home" 0
25 "Home" 1
16 "Home" 0
30 "Home" 0
0 "Home" 0
25 "Home" 0
8 "Home" 0
26 "Home" 0
24 "Home" 1
26 "Home" 1
16 "Home" 0
22 "Home" 1
26 "Home" 1
25 "Home" 0
1 "Home" 0
25 "Home" 1
25 "Home" 0
26 "Home" 1
26 "Home" 1
15 "Home" 0
23 "Home" 0
26 "Home" 1
48 "Home" 0
2 "Home" 1
25 "Home" 1
25 "Home" 1
27 "Home" 0
23 "Home" 0
22 "Home" 1
23 "Home" 0
11 "Home" 1
25 "Home" 1
1 "Home" 1
2 "Home" 1
25 "Home" 0
27 "Away" 0
19 "Away" 0
2 "Away" 1
26 "Away" 0
24 "Away" 0
25 "Away" 0
22 "Away" 1
7 "Away" 1
23 "Away" 0
2 "Away" 1
23 "Away" 0
24 "Away" 0
2 "Away" 1
0 "Away" 1
24 "Away" 0
15 "Away" 0
27 "Away" 1
23 "Away" 1
9 "Home" 1
4 "Home" 0
15 "Home" 0
12 "Home" 0
23 "Home" 0
25 "Home" 1
16 "Home" 0
2 "Home" 1
24 "Home" 0
2 "Home" 1
3 "Home" 0
22 "Home" 0
26 "Home" 1
24 "Home" 0
2 "Home" 0
18 "Home" 0
1 "Home" 1
25 "Home" 1
2 "Away" 1
25 "Away" 0
23 "Away" 1
26 "Away" 0
19 "Away" 0
25 "Away" 0
1 "Away" 1
2 "Away" 0
26 "Away" 0
10 "Away" 0
1 "Away" 1
25 "Away" 0
21 "Away" 0
21 "Away" 0
1 "Away" 1
28 "Away" 1
28 "Away" 0
1 "Away" 1
39 "Away" 1
22 "Away" 0
0 "Away" 1
27 "Away" 1
24 "Away" 1
2 "Away" 0
24 "Away" 1
17 "Away" 1
23 "Away" 0
0 "Away" 1
6 "Away" 0
24 "Away" 1
27 "Away" 0
11 "Away" 1
2 "Away" 1
21 "Away" 0
0 "Away" 0
16 "Away" 1
25 "Away" 1
24 "Away" 1
25 "Away" 0
9 "Away" 0
26 "Away" 1
17 "Away" 1
26 "Away" 0
27 "Away" 0
18 "Away" 1
26 "Away" 1
6 "Home" 1
26 "Home" 0
22 "Home" 0
