MICE , ALBU
NRML , 156
NRML , 282
NRML , 197
NRML , 297
NRML , 116
NRML , 127
NRML , 119
NRML , 29
NRML , 253
NRML , 122
NRML , 349
NRML , 110
NRML , 143
NRML , 64
NRML , 26
NRML , 86
NRML , 122
NRML , 455
NRML , 655
NRML , 14
ALXN , 391
ALXN , 46
ALXN , 469
ALXN , 86
ALXN , 174
ALXN , 133
ALXN , 13
ALXN , 499
ALXN , 168
ALXN , 62
ALXN , 127
ALXN , 276
ALXN , 176
ALXN , 146
ALXN , 108
ALXN , 276
ALXN , 50
ALXN , 73
INSL , 82
INSL , 100
INSL , 98
INSL , 150
INSL , 243
INSL , 68
INSL , 228
INSL , 131
INSL , 73
INSL , 18
INSL , 20
INSL , 100
INSL , 72
INSL , 133
INSL , 465
INSL , 40
INSL , 46
INSL , 34
INSL , 44
